Baggage Fee,Free Baggage,Airlines,Flight Numbers,Departures,Departure Date and Times,Arrivals,Arrival Date and Times,Durations,Layover Count,Layover Airports,Layover Info,Total Duration,Flight Price,Departure Times,Arrival Times,Carbon Emissions (g),Typical Emissions (g),Emission Difference (%),Booking Token
55,0,"Air Canada, Air Canada","AC 26, AC 548","PVG, YVR","2026-03-02 17:50, 2026-03-03 08:40","YVR, EWR","2026-03-02 12:10, 2026-03-03 16:51","620, 311",1,Vancouver International Airport,"YVR, 1230",2161,725,"1070, 520","730, 1011",729000,871000,-16,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFZ3BCUXpJMmZFRkROVFE0R2dzSTByVUVFQUlhQTFWVFJEZ2NjTksxQkE9PSIsW1siUFZHIiwiMjAyNi0wMy0wMiIsIllWUiIsbnVsbCwiQUMiLCIyNiJdLFsiWVZSIiwiMjAyNi0wMy0wMyIsIkVXUiIsbnVsbCwiQUMiLCI1NDgiXV1d
55,0,"Air Canada, Air Canada, Air Canada","AC 26, AC 122, AC 8872","PVG, YVR, YYZ","2026-03-02 17:50, 2026-03-02 17:15, 2026-03-03 06:30","YVR, YYZ, EWR","2026-03-02 12:10, 2026-03-03 00:47, 2026-03-03 08:10","620, 272, 100",2,Vancouver International Airport; Toronto Pearson International Airport,"YVR, 305; YYZ, 343",1640,744,"1070, 1035, 390","730, 47, 490",892000,871000,2,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaEZCUXpJMmZFRkRNVEl5ZkVGRE9EZzNNaG9MQ0wvRUJCQUNHZ05WVTBRNEhIQy94QVE9IixbWyJQVkciLCIyMDI2LTAzLTAyIiwiWVZSIixudWxsLCJBQyIsIjI2Il0sWyJZVlIiLCIyMDI2LTAzLTAyIiwiWVlaIixudWxsLCJBQyIsIjEyMiJdLFsiWVlaIiwiMjAyNi0wMy0wMyIsIkVXUiIsbnVsbCwiQUMiLCI4ODcyIl1dXQ==
55,0,"Air Canada, Air Canada, Air Canada","AC 26, AC 122, AC 8874","PVG, YVR, YYZ","2026-03-02 17:50, 2026-03-02 17:15, 2026-03-03 08:30","YVR, YYZ, EWR","2026-03-02 12:10, 2026-03-03 00:47, 2026-03-03 10:10","620, 272, 100",2,Vancouver International Airport; Toronto Pearson International Airport,"YVR, 305; YYZ, 463",1760,744,"1070, 1035, 510","730, 47, 610",892000,871000,2,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaEZCUXpJMmZFRkRNVEl5ZkVGRE9EZzNOQm9MQ0wvRUJCQUNHZ05WVTBRNEhIQy94QVE9IixbWyJQVkciLCIyMDI2LTAzLTAyIiwiWVZSIixudWxsLCJBQyIsIjI2Il0sWyJZVlIiLCIyMDI2LTAzLTAyIiwiWVlaIixudWxsLCJBQyIsIjEyMiJdLFsiWVlaIiwiMjAyNi0wMy0wMyIsIkVXUiIsbnVsbCwiQUMiLCI4ODc0Il1dXQ==
55,0,"Air Canada, Air Canada, United","AC 26, AC 348, UA 3629","PVG, YVR, YOW","2026-03-02 17:50, 2026-03-02 21:15, 2026-03-03 06:00","YVR, YOW, EWR","2026-03-02 12:10, 2026-03-03 04:57, 2026-03-03 07:33","620, 282, 93",2,Vancouver International Airport; Ottawa International Airport,"YVR, 545; YOW, 63",1603,725,"1070, 1275, 360","730, 297, 453",832000,871000,-4,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaEZCUXpJMmZFRkRNelE0ZkZWQk16WXlPUm9MQ05LMUJCQUNHZ05WVTBRNEhIRFN0UVE9IixbWyJQVkciLCIyMDI2LTAzLTAyIiwiWVZSIixudWxsLCJBQyIsIjI2Il0sWyJZVlIiLCIyMDI2LTAzLTAyIiwiWU9XIixudWxsLCJBQyIsIjM0OCJdLFsiWU9XIiwiMjAyNi0wMy0wMyIsIkVXUiIsbnVsbCwiVUEiLCIzNjI5Il1dXQ==
55,0,"Air Canada, Air Canada, United","AC 26, AC 122, UA 3435","PVG, YVR, YYZ","2026-03-02 17:50, 2026-03-02 17:15, 2026-03-03 07:30","YVR, YYZ, EWR","2026-03-02 12:10, 2026-03-03 00:47, 2026-03-03 09:13","620, 272, 103",2,Vancouver International Airport; Toronto Pearson International Airport,"YVR, 305; YYZ, 403",1703,744,"1070, 1035, 450","730, 47, 553",890000,871000,2,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaEZCUXpJMmZFRkRNVEl5ZkZWQk16UXpOUm9MQ0wvRUJCQUNHZ05WVTBRNEhIQy94QVE9IixbWyJQVkciLCIyMDI2LTAzLTAyIiwiWVZSIixudWxsLCJBQyIsIjI2Il0sWyJZVlIiLCIyMDI2LTAzLTAyIiwiWVlaIixudWxsLCJBQyIsIjEyMiJdLFsiWVlaIiwiMjAyNi0wMy0wMyIsIkVXUiIsbnVsbCwiVUEiLCIzNDM1Il1dXQ==
0,1,"Air China, Air China, United","CA 1508, CA 983, UA 2303","SHA, PEK, LAX","2026-03-02 11:30, 2026-03-02 22:00, 2026-03-02 23:15","PEK, LAX, EWR","2026-03-02 13:45, 2026-03-02 19:00, 2026-03-03 07:12","135, 780, 297",2,Beijing Capital International Airport; Los Angeles International Airport,"PEK, 495; LAX, 255",1962,,"690, 1320, 1395","825, 1140, 432",1006000,871000,15,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaE5EUVRFMU1EaDhRMEU1T0ROOFZVRXlNekF6T0J3PSIsW1siU0hBIiwiMjAyNi0wMy0wMiIsIlBFSyIsbnVsbCwiQ0EiLCIxNTA4Il0sWyJQRUsiLCIyMDI2LTAzLTAyIiwiTEFYIixudWxsLCJDQSIsIjk4MyJdLFsiTEFYIiwiMjAyNi0wMy0wMiIsIkVXUiIsbnVsbCwiVUEiLCIyMzAzIl1dXQ==
0,1,"Air China, Air China, United","CA 1502, CA 983, UA 2303","SHA, PEK, LAX","2026-03-02 12:30, 2026-03-02 22:00, 2026-03-02 23:15","PEK, LAX, EWR","2026-03-02 14:55, 2026-03-02 19:00, 2026-03-03 07:12","145, 780, 297",2,Beijing Capital International Airport; Los Angeles International Airport,"PEK, 425; LAX, 255",1902,,"750, 1320, 1395","895, 1140, 432",1006000,871000,15,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaE5EUVRFMU1ESjhRMEU1T0ROOFZVRXlNekF6T0J3PSIsW1siU0hBIiwiMjAyNi0wMy0wMiIsIlBFSyIsbnVsbCwiQ0EiLCIxNTAyIl0sWyJQRUsiLCIyMDI2LTAzLTAyIiwiTEFYIixudWxsLCJDQSIsIjk4MyJdLFsiTEFYIiwiMjAyNi0wMy0wMiIsIkVXUiIsbnVsbCwiVUEiLCIyMzAzIl1dXQ==
0,1,"Air China, Air China, United","CA 1520, CA 983, UA 2303","SHA, PEK, LAX","2026-03-02 13:30, 2026-03-02 22:00, 2026-03-02 23:15","PEK, LAX, EWR","2026-03-02 15:45, 2026-03-02 19:00, 2026-03-03 07:12","135, 780, 297",2,Beijing Capital International Airport; Los Angeles International Airport,"PEK, 375; LAX, 255",1842,,"810, 1320, 1395","945, 1140, 432",1031000,871000,18,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaE5EUVRFMU1qQjhRMEU1T0ROOFZVRXlNekF6T0J3PSIsW1siU0hBIiwiMjAyNi0wMy0wMiIsIlBFSyIsbnVsbCwiQ0EiLCIxNTIwIl0sWyJQRUsiLCIyMDI2LTAzLTAyIiwiTEFYIixudWxsLCJDQSIsIjk4MyJdLFsiTEFYIiwiMjAyNi0wMy0wMiIsIkVXUiIsbnVsbCwiVUEiLCIyMzAzIl1dXQ==
0,1,"Air China, Air China, United","CA 1532, CA 983, UA 2303","SHA, PEK, LAX","2026-03-02 14:25, 2026-03-02 22:00, 2026-03-02 23:15","PEK, LAX, EWR","2026-03-02 16:45, 2026-03-02 19:00, 2026-03-03 07:12","140, 780, 297",2,Beijing Capital International Airport; Los Angeles International Airport,"PEK, 315; LAX, 255",1787,,"865, 1320, 1395","1005, 1140, 432",1006000,871000,15,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaE5EUVRFMU16SjhRMEU1T0ROOFZVRXlNekF6T0J3PSIsW1siU0hBIiwiMjAyNi0wMy0wMiIsIlBFSyIsbnVsbCwiQ0EiLCIxNTMyIl0sWyJQRUsiLCIyMDI2LTAzLTAyIiwiTEFYIixudWxsLCJDQSIsIjk4MyJdLFsiTEFYIiwiMjAyNi0wMy0wMiIsIkVXUiIsbnVsbCwiVUEiLCIyMzAzIl1dXQ==
0,1,"Air China, Air China, United","CA 1524, CA 983, UA 2303","SHA, PEK, LAX","2026-03-02 14:45, 2026-03-02 22:00, 2026-03-02 23:15","PEK, LAX, EWR","2026-03-02 17:10, 2026-03-02 19:00, 2026-03-03 07:12","145, 780, 297",2,Beijing Capital International Airport; Los Angeles International Airport,"PEK, 290; LAX, 255",1767,,"885, 1320, 1395","1030, 1140, 432",1031000,871000,18,WyJDalJJYVZoVlh6RnRkR2RxVWxWQlFuWlJkMmRDUnkwdExTMHRMUzB0TFhCcVluRmpOa0ZCUVVGQlIyYzBTSEozUmpWWFdrRkJFaE5EUVRFMU1qUjhRMEU1T0ROOFZVRXlNekF6T0J3PSIsW1siU0hBIiwiMjAyNi0wMy0wMiIsIlBFSyIsbnVsbCwiQ0EiLCIxNTI0Il0sWyJQRUsiLCIyMDI2LTAzLTAyIiwiTEFYIixudWxsLCJDQSIsIjk4MyJdLFsiTEFYIiwiMjAyNi0wMy0wMiIsIkVXUiIsbnVsbCwiVUEiLCIyMzAzIl1dXQ==
