Baggage Fee,Free Baggage,Airlines,Flight Numbers,Departures,Departure Date and Times,Arrivals,Arrival Date and Times,Durations,Layover Count,Layover Airports,Layover Info,Total Duration,Flight Price,Departure Times,Arrival Times,Carbon Emissions (g),Typical Emissions (g),Emission Difference (%),Booking Token
0,2,Air China,CA 924,NRT,12/18/25 13:25,PVG,12/18/25 16:05,220,0,,,220,,805,965,199000,153000,30,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ1ZEUVRreU5EZ2MiLFtbIk5SVCIsIjIwMjUtMTItMTgiLCJQVkciLG51bGwsIkNBIiwiOTI0Il1dXQ==
0,2,"ANA, Asiana Airlines","NH 861, OZ 3615","HND, GMP","2025-12-18 08:45, 2025-12-18 15:55","GMP, SHA","2025-12-18 11:20, 2025-12-18 17:00","155, 125",1,Gimpo International Airport,"GMP, 275",555,464,"525, 955","680, 1020",249000,153000,63,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3hPU0RnMk1YeFBXak0yTVRVYUN3ajE2UUlRQWhvRFZWTkVPQnh3OWVrQyIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIkdNUCIsbnVsbCwiTkgiLCI4NjEiXSxbIkdNUCIsIjIwMjUtMTItMTgiLCJTSEEiLG51bGwsIk9aIiwiMzYxNSJdXV0=
0,2,"ANA, Asiana Airlines","NH 865, OZ 3615","HND, GMP","2025-12-18 15:55, 2025-12-19 15:55","GMP, SHA","2025-12-18 18:35, 2025-12-19 17:00","160, 125",1,Gimpo International Airport,"GMP, 1280",1565,478,"955, 955","1115, 1020",249000,153000,63,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3hPU0RnMk5YeFBXak0yTVRVYUN3alg5QUlRQWhvRFZWTkVPQnh3MS9RQyIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIkdNUCIsbnVsbCwiTkgiLCI4NjUiXSxbIkdNUCIsIjIwMjUtMTItMTkiLCJTSEEiLG51bGwsIk9aIiwiMzYxNSJdXV0=
0,2,"ANA, Asiana Airlines","NH 867, OZ 3615","HND, GMP","2025-12-18 20:00, 2025-12-19 15:55","GMP, SHA","2025-12-18 22:30, 2025-12-19 17:00","150, 125",1,Gimpo International Airport,"GMP, 1045",1320,478,"1200, 955","1350, 1020",222000,153000,45,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3hPU0RnMk4zeFBXak0yTVRVYUN3alg5QUlRQWhvRFZWTkVPQnh3MS9RQyIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIkdNUCIsbnVsbCwiTkgiLCI4NjciXSxbIkdNUCIsIjIwMjUtMTItMTkiLCJTSEEiLG51bGwsIk9aIiwiMzYxNSJdXV0=
0,2,"ANA, Asiana Airlines","NH 867, OZ 361","HND, ICN","2025-12-18 20:00, 2025-12-19 09:00","GMP, PVG","2025-12-18 22:30, 2025-12-19 10:05","150, 125",1,Incheon International Airport,"GMP, 630",905,488,"1200, 540","1350, 605",194000,153000,27,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3RPU0RnMk4zeFBXak0yTVJvTENNdjhBaEFDR2dOVlUwUTRISERML0FJPSIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIkdNUCIsbnVsbCwiTkgiLCI4NjciXSxbIklDTiIsIjIwMjUtMTItMTkiLCJQVkciLG51bGwsIk9aIiwiMzYxIl1dXQ==
0,2,"ANA, China Eastern","NH 411, MU 226","HND, KIX","2025-12-18 06:40, 2025-12-18 13:10","UKB, PVG","2025-12-18 08:00, 2025-12-18 15:25","80, 195",1,Kansai International Airport,"UKB, 310",585,437,"400, 790","480, 925",223000,153000,46,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3RPU0RReE1YeE5WVEl5TmhvTENJVFZBaEFDR2dOVlUwUTRISENFMVFJPSIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIlVLQiIsbnVsbCwiTkgiLCI0MTEiXSxbIktJWCIsIjIwMjUtMTItMTgiLCJQVkciLG51bGwsIk1VIiwiMjI2Il1dXQ==
0,2,"ANA, China Eastern","NH 411, MU 516","HND, KIX","2025-12-18 06:40, 2025-12-18 14:20","UKB, PVG","2025-12-18 08:00, 2025-12-18 16:05","80, 165",1,Kansai International Airport,"UKB, 380",625,437,"400, 860","480, 965",223000,153000,46,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3RPU0RReE1YeE5WVFV4TmhvTENJVFZBaEFDR2dOVlUwUTRISENFMVFJPSIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIlVLQiIsbnVsbCwiTkgiLCI0MTEiXSxbIktJWCIsIjIwMjUtMTItMTgiLCJQVkciLG51bGwsIk1VIiwiNTE2Il1dXQ==
0,2,"ANA, China Eastern","NH 411, MU 748","HND, KIX","2025-12-18 06:40, 2025-12-18 16:30","UKB, PVG","2025-12-18 08:00, 2025-12-18 18:30","80, 180",1,Kansai International Airport,"UKB, 510",770,437,"400, 990","480, 1110",228000,153000,49,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3RPU0RReE1YeE5WVGMwT0JvTENJVFZBaEFDR2dOVlUwUTRISENFMVFJPSIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIlVLQiIsbnVsbCwiTkgiLCI0MTEiXSxbIktJWCIsIjIwMjUtMTItMTgiLCJQVkciLG51bGwsIk1VIiwiNzQ4Il1dXQ==
0,2,"ANA, China Eastern","NH 415, MU 730","HND, KIX","2025-12-18 20:30, 2025-12-19 09:30","UKB, PVG","2025-12-18 21:45, 2025-12-19 11:30","75, 180",1,Kansai International Airport,"UKB, 705",960,437,"1230, 570","1305, 690",221000,153000,44,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3RPU0RReE5YeE5WVGN6TUJvTENJVFZBaEFDR2dOVlUwUTRISENFMVFJPSIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIlVLQiIsbnVsbCwiTkgiLCI0MTUiXSxbIktJWCIsIjIwMjUtMTItMTkiLCJQVkciLG51bGwsIk1VIiwiNzMwIl1dXQ==
0,2,"ANA, China Eastern","NH 985, MU 226","HND, KIX","2025-12-18 06:20, 2025-12-18 13:10","ITM, PVG","2025-12-18 07:30, 2025-12-18 15:25","70, 195",1,Kansai International Airport,"ITM, 340",605,437,"380, 790","450, 925",203000,153000,33,WyJDalJJZGxkblZqTTRjREZJWW5kQlFuWmxjV2RDUnkwdExTMHRMUzB0YjNsaVpITXlORUZCUVVGQlIyYzBSekpqVEhoSlZWVkJFZ3RPU0RrNE5YeE5WVEl5TmhvTENKL1ZBaEFDR2dOVlUwUTRISENmMVFJPSIsW1siSE5EIiwiMjAyNS0xMi0xOCIsIklUTSIsbnVsbCwiTkgiLCI5ODUiXSxbIktJWCIsIjIwMjUtMTItMTgiLCJQVkciLG51bGwsIk1VIiwiMjI2Il1dXQ==
