Baggage Fee,Free Baggage,Airlines,Flight Numbers,Departures,Departure Date and Times,Arrivals,Arrival Date and Times,Durations,Layover Count,Layover Airports,Layover Info,Total Duration,Flight Price,Departure Times,Arrival Times,Carbon Emissions (g),Typical Emissions (g),Emission Difference (%),Booking Token
75,0,"Air Canada, Air Canada","AC 8843, AC 3","SFO, YVR","2025-12-10 07:30, 2025-12-10 12:35","YVR, NRT","2025-12-10 09:55, 2025-12-11 16:00","145, 625",1,Vancouver International Airport,"YVR, 160",930,499,"450, 755","595, 960",673000,614000,10,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3BCUXpnNE5ETjhRVU16R2dzSTdJVURFQUlhQTFWVFJEZ2NjT3lGQXc9PSIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI4ODQzIl0sWyJZVlIiLCIyMDI1LTEyLTEwIiwiTlJUIixudWxsLCJBQyIsIjMiXV1d
75,0,"Air Canada, Air Canada","AC 567, AC 3","SFO, YVR","2025-12-10 13:30, 2025-12-11 12:35","YVR, NRT","2025-12-10 15:54, 2025-12-12 16:00","144, 625",1,Vancouver International Airport,"YVR, 1241",2010,584,"810, 755","954, 960",634000,614000,3,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ2xCUXpVMk4zeEJRek1hQ3dpZ3lBTVFBaG9EVlZORU9CeHdvTWdEIixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiWVZSIixudWxsLCJBQyIsIjU2NyJdLFsiWVZSIiwiMjAyNS0xMi0xMSIsIk5SVCIsbnVsbCwiQUMiLCIzIl1dXQ==
75,0,"Air Canada, Air Canada","AC 571, AC 3","SFO, YVR","2025-12-10 18:05, 2025-12-11 12:35","YVR, NRT","2025-12-10 20:29, 2025-12-12 16:00","144, 625",1,Vancouver International Airport,"YVR, 966",1735,584,"1085, 755","1229, 960",601000,614000,-2,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ2xCUXpVM01YeEJRek1hQ3dpZ3lBTVFBaG9EVlZORU9CeHdvTWdEIixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiWVZSIixudWxsLCJBQyIsIjU3MSJdLFsiWVZSIiwiMjAyNS0xMi0xMSIsIk5SVCIsbnVsbCwiQUMiLCIzIl1dXQ==
75,0,"Air Canada, Air Canada","AC 8845, AC 3","SFO, YVR","2025-12-10 11:20, 2025-12-11 12:35","YVR, NRT","2025-12-10 13:45, 2025-12-12 16:00","145, 625",1,Vancouver International Airport,"YVR, 1370",2140,669,"680, 755","825, 960",673000,614000,10,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3BCUXpnNE5EVjhRVU16R2dzSTFJb0VFQUlhQTFWVFJEZ2NjTlNLQkE9PSIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI4ODQ1Il0sWyJZVlIiLCIyMDI1LTEyLTExIiwiTlJUIixudWxsLCJBQyIsIjMiXV1d
75,0,"Air Canada, Air Canada","AC 746, AC 1","SFO, YYZ","2025-12-10 22:45, 2025-12-11 12:30","YYZ, HND","2025-12-11 06:43, 2025-12-12 16:40","298, 850",1,Toronto Pearson International Airport,"YYZ, 347",1495,1340,"1365, 750","403, 1000",857000,614000,40,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ2xCUXpjME5ueEJRekVhQ3dqRGxnZ1FBaG9EVlZORU9CeHd3NVlJIixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiWVlaIixudWxsLCJBQyIsIjc0NiJdLFsiWVlaIiwiMjAyNS0xMi0xMSIsIkhORCIsbnVsbCwiQUMiLCIxIl1dXQ==
75,0,"Air Canada, Air Canada, Asiana Airlines","AC 8843, AC 63, OZ 108","SFO, YVR, ICN","2025-12-10 07:30, 2025-12-10 12:05, 2025-12-11 18:40","YVR, ICN, NRT","2025-12-10 09:55, 2025-12-11 17:05, 2025-12-11 21:00","145, 720, 140",2,Vancouver International Airport; Incheon International Airport,"YVR, 130; ICN, 95",1230,802,"450, 725, 1120","595, 1025, 1260",781000,614000,27,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFaEZCUXpnNE5ETjhRVU0yTTN4UFdqRXdPQm9MQ0lMeUJCQUNHZ05WVTBRNEhIQ0M4Z1E9IixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiWVZSIixudWxsLCJBQyIsIjg4NDMiXSxbIllWUiIsIjIwMjUtMTItMTAiLCJJQ04iLG51bGwsIkFDIiwiNjMiXSxbIklDTiIsIjIwMjUtMTItMTEiLCJOUlQiLG51bGwsIk9aIiwiMTA4Il1dXQ==
75,0,"Air Canada, Air Canada, Korean Air","AC 8843, AC 63, KE 705","SFO, YVR, ICN","2025-12-10 07:30, 2025-12-10 12:05, 2025-12-11 18:45","YVR, ICN, NRT","2025-12-10 09:55, 2025-12-11 17:05, 2025-12-11 21:05","145, 720, 140",2,Vancouver International Airport; Incheon International Airport,"YVR, 130; ICN, 100",1235,962,"450, 725, 1125","595, 1025, 1265",746000,614000,21,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFaEZCUXpnNE5ETjhRVU0yTTN4TFJUY3dOUm9MQ1BqdUJSQUNHZ05WVTBRNEhIRDQ3Z1U9IixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiWVZSIixudWxsLCJBQyIsIjg4NDMiXSxbIllWUiIsIjIwMjUtMTItMTAiLCJJQ04iLG51bGwsIkFDIiwiNjMiXSxbIklDTiIsIjIwMjUtMTItMTEiLCJOUlQiLG51bGwsIktFIiwiNzA1Il1dXQ==
75,0,"Air Canada, ANA","AC 8843, NH 115","SFO, YVR","2025-12-10 07:30, 2025-12-10 15:15","YVR, HND","2025-12-10 09:55, 2025-12-11 18:45","145, 630",1,Vancouver International Airport,"YVR, 320",1095,5631,"450, 915","595, 1125",697000,614000,14,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3hCUXpnNE5ETjhUa2d4TVRVYUN3aWNyeUlRQWhvRFZWTkVPQnh3bks4aSIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI4ODQzIl0sWyJZVlIiLCIyMDI1LTEyLTEwIiwiSE5EIixudWxsLCJOSCIsIjExNSJdXV0=
75,0,"Air Canada, ANA","AC 8845, NH 115","SFO, YVR","2025-12-10 11:20, 2025-12-10 15:15","YVR, HND","2025-12-10 13:45, 2025-12-11 18:45","145, 630",1,Vancouver International Airport,"YVR, 90",865,5631,"680, 915","825, 1125",697000,614000,14,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3hCUXpnNE5EVjhUa2d4TVRVYUN3aWNyeUlRQWhvRFZWTkVPQnh3bks4aSIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI4ODQ1Il0sWyJZVlIiLCIyMDI1LTEyLTEwIiwiSE5EIixudWxsLCJOSCIsIjExNSJdXV0=
75,0,"Air Canada, JAL","AC 8843, JL 17","SFO, YVR","2025-12-10 07:30, 2025-12-10 12:45","YVR, NRT","2025-12-10 09:55, 2025-12-11 16:00","145, 615",1,Vancouver International Airport,"YVR, 170",930,1055,"450, 765","595, 960",877000,614000,43,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3RCUXpnNE5ETjhTa3d4TnhvTENKeTRCaEFDR2dOVlUwUTRISENjdUFZPSIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI4ODQzIl0sWyJZVlIiLCIyMDI1LTEyLTEwIiwiTlJUIixudWxsLCJKTCIsIjE3Il1dXQ==
75,0,"Air Canada, JAL","AC 571, JL 17","SFO, YVR","2025-12-10 18:05, 2025-12-11 12:45","YVR, NRT","2025-12-10 20:29, 2025-12-12 16:00","144, 615",1,Vancouver International Airport,"YVR, 976",1735,1055,"1085, 765","1229, 960",770000,614000,25,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3BCUXpVM01YeEtUREUzR2dzSW5MZ0dFQUlhQTFWVFJEZ2NjSnk0Qmc9PSIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI1NzEiXSxbIllWUiIsIjIwMjUtMTItMTEiLCJOUlQiLG51bGwsIkpMIiwiMTciXV1d
0,2,"Air China, Air China","CA 986, CA 181","SFO, PEK","2025-12-10 11:05, 2025-12-12 08:45","PEK, HND","2025-12-11 17:30, 2025-12-12 12:50","865, 185",1,Beijing Capital International Airport,"PEK, 915",1965,,"665, 525","1050, 770",819000,614000,33,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3REUVRrNE5ueERRVEU0TVRnYyIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIlBFSyIsbnVsbCwiQ0EiLCI5ODYiXSxbIlBFSyIsIjIwMjUtMTItMTIiLCJITkQiLG51bGwsIkNBIiwiMTgxIl1dXQ==
0,2,"Air China, Air China","CA 986, CA 925","SFO, PEK","2025-12-10 11:05, 2025-12-12 09:15","PEK, NRT","2025-12-11 17:30, 2025-12-12 13:40","865, 205",1,Beijing Capital International Airport,"PEK, 945",2015,,"665, 555","1050, 820",831000,614000,35,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3REUVRrNE5ueERRVGt5TlRnYyIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIlBFSyIsbnVsbCwiQ0EiLCI5ODYiXSxbIlBFSyIsIjIwMjUtMTItMTIiLCJOUlQiLG51bGwsIkNBIiwiOTI1Il1dXQ==
0,2,"Air China, Air China","CA 986, CA 133","SFO, PEK","2025-12-10 11:05, 2025-12-12 10:00","PEK, HND","2025-12-11 17:30, 2025-12-12 14:25","865, 205",1,Beijing Capital International Airport,"PEK, 990",2060,,"665, 600","1050, 865",811000,614000,32,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFZ3REUVRrNE5ueERRVEV6TXpnYyIsW1siU0ZPIiwiMjAyNS0xMi0xMCIsIlBFSyIsbnVsbCwiQ0EiLCI5ODYiXSxbIlBFSyIsIjIwMjUtMTItMTIiLCJITkQiLG51bGwsIkNBIiwiMTMzIl1dXQ==
0,1,"Alaska, Air Canada, Air Canada","AS 416, AC 8803, AC 3","SFO, SEA, YVR","2025-12-10 06:00, 2025-12-10 10:00, 2025-12-10 12:35","SEA, YVR, NRT","2025-12-10 08:15, 2025-12-10 11:07, 2025-12-11 16:00","135, 67, 625",2,Seattle–Tacoma International Airport; Vancouver International Airport,"SEA, 105; YVR, 88",1020,902,"360, 600, 755","495, 667, 960",662000,614000,8,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFaEJCVXpReE5ueEJRemc0TUROOFFVTXpHZ3NJcHNBRkVBSWFBMVZUUkRnY2NLYkFCUT09IixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiU0VBIixudWxsLCJBUyIsIjQxNiJdLFsiU0VBIiwiMjAyNS0xMi0xMCIsIllWUiIsbnVsbCwiQUMiLCI4ODAzIl0sWyJZVlIiLCIyMDI1LTEyLTEwIiwiTlJUIixudWxsLCJBQyIsIjMiXV1d
0,1,"Alaska, Air Canada, Air Canada","AS 316, AC 8801, AC 3","SFO, SEA, YVR","2025-12-10 21:40, 2025-12-11 05:50, 2025-12-11 12:35","SEA, YVR, NRT","2025-12-10 23:55, 2025-12-11 06:57, 2025-12-12 16:00","135, 67, 625",2,Seattle–Tacoma International Airport; Vancouver International Airport,"SEA, 355; YVR, 338",1520,962,"1300, 350, 755","1435, 417, 960",662000,614000,8,WyJDalJJTWxOSk9XZDBOREZYV0ZsQlFrdDVSSGRDUnkwdExTMHRMUzB0TFhscGNHMHhNa0ZCUVVGQlIyYzBSbUozUmpNM056aEJFaEJCVXpNeE5ueEJRemc0TURGOFFVTXpHZ3NJbHU4RkVBSWFBMVZUUkRnY2NKYnZCUT09IixbWyJTRk8iLCIyMDI1LTEyLTEwIiwiU0VBIixudWxsLCJBUyIsIjMxNiJdLFsiU0VBIiwiMjAyNS0xMi0xMSIsIllWUiIsbnVsbCwiQUMiLCI4ODAxIl0sWyJZVlIiLCIyMDI1LTEyLTExIiwiTlJUIixudWxsLCJBQyIsIjMiXV1d
